종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"075580","세진중공업","KOSPI","운수장비","6810","100","1.49","387144795360"
"068270","셀트리온","KOSPI","의약품","187400","6300","3.48","40669771006000"
"336370","솔루스첨단소재","KOSPI","전기전자","12350","190","1.56","867184198400"
"33637K","솔루스첨단소재1우","KOSPI","전기전자","2820","-10","-0.35","47682720120"
"33637L","솔루스첨단소재2우B","KOSPI","전기전자","6070","-20","-0.33","22934256720"
"248070","솔루엠","KOSPI","전기전자","18280","-180","-0.98","914101472280"
"004430","송원산업","KOSPI","화학","12760","-420","-3.19","306240000000"
"126720","수산인더스트리","KOSPI","건설업","22250","200","0.91","317863500000"
"017550","수산중공업","KOSPI","기계","1727","-1","-0.06","107763297510"
"053210","스카이라이프","KOSPI","서비스업","5030","35","0.70","239040463650"
"204210","스타에스엠리츠","KOSPI","서비스업","2435","15","0.62","19058294525"
"026890","스틱인베스트먼트","KOSPI","기타금융","8090","40","0.50","337176435750"
"134790","시디즈","KOSPI","기타제조업","31000","1300","4.38","62000000000"
"462870","시프트업","KOSPI","서비스업","65700","-900","-1.35","3832591104000"
"016590","신대양제지","KOSPI","종이목재","5900","0","0.00","237757138000"
"029530","신도리코","KOSPI","전기전자","41750","-50","-0.12","420841210750"
"004970","신라교역","KOSPI","농업, 임업 및 어업","9530","0","0.00","152480000000"
"011930","신성이엔지","KOSPI","전기전자","1465","30","2.09","301567541215"
"005390","신성통상","KOSPI","유통업","2185","-15","-0.68","314002832150"
"004170","신세계","KOSPI","유통업","152100","2000","1.33","1497452030100"
"035510","신세계 I&C","KOSPI","서비스업","9890","80","0.82","170108000000"
"034300","신세계건설","KOSPI","건설업","18110","-10","-0.06","140543632940"
"031430","신세계인터내셔날","KOSPI","유통업","13100","-30","-0.23","467670000000"
"031440","신세계푸드","KOSPI","서비스업","34700","50","0.14","134375056000"
"006880","신송홀딩스","KOSPI","유통업","7820","-450","-5.44","92501669560"
"005800","신영와코루","KOSPI","섬유의복","9150","-300","-3.17","82350000000"
"001720","신영증권","KOSPI","증권","80500","-1000","-1.23","1323420000000"
"009270","신원","KOSPI","섬유의복","1228","1","0.08","125976045168"
"002700","신일전자","KOSPI","유통업","1429","12","0.85","101526907509"
"002870","신풍","KOSPI","유통업","923","19","2.10","32266880100"
"019170","신풍제약","KOSPI","의약품","11980","180","1.53","634760180200"
"019175","신풍제약우","KOSPI","의약품","19180","120","0.63","42196000000"
"481850","신한글로벌액티브리츠","KOSPI","기타금융","2160","-30","-1.37","93911754240"
"404990","신한서부티엔디리츠","KOSPI","서비스업","3500","-15","-0.43","195845594000"
"293940","신한알파리츠","KOSPI","서비스업","5810","0","0.00","511861714630"
"055550","신한지주","KOSPI","기타금융","54500","500","0.93","27761930163000"
"004080","신흥","KOSPI","유통업","14290","-10","-0.07","135755000000"
"102280","쌍방울","KOSPI","섬유의복","269","0","0.00","70637282701"
"004770","써니전자","KOSPI","전기전자","1596","6","0.38","58577802864"
"403550","쏘카","KOSPI","서비스업","18250","40","0.22","598871961500"
"004920","씨아이테크","KOSPI","전기전자","1399","-3","-0.21","70042044407"
"112610","씨에스윈드","KOSPI","기계","61800","2800","4.75","2606192705400"
"308170","씨티알모빌리티","KOSPI","운수장비","5170","40","0.78","44513700000"
"008700","아남전자","KOSPI","전기전자","1289","39","3.12","99413892980"
"002790","아모레G","KOSPI","화학","24100","950","4.10","1987242138000"
"00279K","아모레G3우(전환)","KOSPI","화학","18660","460","2.53","132340452000"
"002795","아모레G우","KOSPI","화학","9290","120","1.31","59862623300"
"090430","아모레퍼시픽","KOSPI","화학","125600","5300","4.41","7346690530400"
"090435","아모레퍼시픽우","KOSPI","화학","35700","1350","3.93","376914531000"
"002030","아세아","KOSPI","서비스업","254000","0","0.00","537374592000"
"183190","아세아시멘트","KOSPI","비금속광물","10860","240","2.26","418130481960"
"002310","아세아제지","KOSPI","종이목재","8050","-20","-0.25","344399205500"
"012170","아센디오","KOSPI","서비스업","420","7","1.69","43499184960"
"267850","아시아나IDT","KOSPI","서비스업","18030","220","1.24","200133000000"
"020560","아시아나항공","KOSPI","운수창고업","10000","130","1.32","744117640000"
"122900","아이마켓코리아","KOSPI","유통업","8380","10","0.12","280133679200"
"010780","아이에스동서","KOSPI","비금속광물","19980","-170","-0.84","603135780480"
"139990","아주스틸","KOSPI","철강금속","5040","90","1.82","133649429760"
"009320","아진전자부품","KOSPI","운수장비","1102","3","0.27","54328346540"
"001780","알루코","KOSPI","철강금속","2320","35","1.53","224645906240"
"018250","애경산업","KOSPI","화학","15980","670","4.38","422030761300"
"161000","애경케미칼","KOSPI","화학","10830","280","2.65","526865518470"
"011090","에넥스","KOSPI","기타제조업","532","8","1.53","31915553012"
"137310","에스디바이오센서","KOSPI","의료정밀","9040","170","1.92","1125275271120"
"005850","에스엘","KOSPI","운수장비","32800","600","1.86","1523511456000"
"010580","에스엠벡셀","KOSPI","운수장비","1211","2","0.17","134725881360"
"012750","에스원","KOSPI","서비스업","64700","400","0.62","2458546816600"
"023960","에쓰씨엔지니어링","KOSPI","건설업","1853","33","1.81","62980073451"
"298690","에어부산","KOSPI","운수창고업","2395","65","2.79","279352800000"
"140910","에이리츠","KOSPI","서비스업","3130","0","0.00","13969290160"
"078520","에이블씨엔씨","KOSPI","화학","7370","140","1.94","191724366570"
"015260","에이엔피","KOSPI","전기전자","730","31","4.43","32935332620"
"007460","에이프로젠","KOSPI","기계","1139","59","5.46","326724163752"
"003060","에이프로젠바이오로직스","KOSPI","의약품","839","34","4.22","166464181955"
"244920","에이플러스에셋","KOSPI","기타금융","4645","190","4.26","105012733985"
"278470","에이피알","KOSPI","화학","46650","350","0.76","1777989643500"
"450080","에코프로머티","KOSPI","전기전자","123000","10900","9.72","8495683554000"
"036570","엔씨소프트","KOSPI","서비스업","219500","2500","1.15","4818907829000"
"085310","엔케이","KOSPI","기계","776","13","1.70","62067081152"
"900140","엘브이엠씨홀딩스","KOSPI","유통업","2175","-5","-0.23","373204793925"
"066970","엘앤에프","KOSPI","전기전자","112000","-3900","-3.36","4065189856000"
"097520","엠씨넥스","KOSPI","전기전자","17800","700","4.09","320003629600"
"014440","영보화학","KOSPI","화학","3425","25","0.74","68500000000"
"111770","영원무역","KOSPI","유통업","42150","250","0.60","1867728376200"
"009970","영원무역홀딩스","KOSPI","기타금융","86600","-400","-0.46","1180842267200"
"003520","영진약품","KOSPI","의약품","2365","35","1.50","432541308815"
"000670","영풍","KOSPI","철강금속","407000","12000","3.04","749710280000"
"006740","영풍제지","KOSPI","종이목재","1232","9","0.74","57266006336"
"012280","영화금속","KOSPI","운수장비","790","21","2.73","40814958950"
"012160","영흥","KOSPI","철강금속","461","8","1.77","46704081492"
